Código_Cliente,Experiencia_OnBoarding,Avaliação_da_Plataforma,Avaliação_Suporte,Forma de Pagamento,Interacoes_Suporte,Cancelou
Cliente_1,1,4,3,PIX,10,Cancelou
Cliente_2,4,5,2,Cartão,3,Renovou
Cliente_3,2,5,1,Boleto,2,Cancelou
Cliente_4,1,3,2,Cartão,1,Renovou
Cliente_5,4,2,2,PIX,5,Cancelou
Cliente_6,4,3,3,Cartão,3,Renovou
Cliente_7,4,1,1,PIX,7,Cancelou
Cliente_8,4,4,5,Cartão,4,Renovou
Cliente_9,2,1,1,Boleto,4,Cancelou
Cliente_10,4,3,4,Boleto,5,Renovou
Cliente_11,2,5,2,Boleto,2,Renovou
Cliente_12,3,4,5,PIX,4,Cancelou
Cliente_13,1,3,1,Boleto,3,Cancelou
Cliente_14,4,2,4,PIX,1,Renovou
Cliente_15,3,3,1,Boleto,5,Cancelou
Cliente_16,1,2,4,PIX,7,Renovou
Cliente_17,1,5,3,Boleto,7,Cancelou
Cliente_18,1,2,4,Boleto,1,Renovou
Cliente_19,3,1,5,PIX,0,Renovou
Cliente_20,2,1,4,PIX,4,Renovou
Cliente_21,3,1,1,Boleto,5,Cancelou
Cliente_22,4,1,2,Cartão,2,Renovou
Cliente_23,4,1,4,Boleto,7,Cancelou
Cliente_24,3,2,5,Boleto,0,Cancelou
Cliente_25,1,1,4,Cartão,3,Renovou
Cliente_26,2,4,3,Boleto,2,Cancelou
Cliente_27,2,2,1,Boleto,0,Cancelou
Cliente_28,2,5,2,Cartão,0,Renovou
Cliente_29,2,2,5,Cartão,9,Cancelou
Cliente_30,1,3,4,Cartão,2,Renovou
Cliente_31,2,5,1,Boleto,13,Cancelou
Cliente_32,1,1,4,Cartão,1,Renovou
Cliente_33,4,1,4,Cartão,0,Renovou
Cliente_34,1,3,4,PIX,2,Cancelou
Cliente_35,4,1,3,Boleto,3,Renovou
Cliente_36,2,5,5,Cartão,5,Cancelou
Cliente_37,3,5,3,PIX,1,Renovou
Cliente_38,4,5,5,PIX,2,Renovou
Cliente_39,4,2,1,PIX,13,Renovou
Cliente_40,1,2,2,Cartão,2,Renovou
Cliente_41,3,5,3,PIX,1,Cancelou
Cliente_42,4,2,5,Boleto,1,Renovou
Cliente_43,1,2,1,PIX,0,Cancelou
Cliente_44,2,4,3,PIX,3,Cancelou
Cliente_45,4,2,5,Boleto,1,Renovou
Cliente_46,2,4,1,PIX,3,Cancelou
Cliente_47,4,4,2,Cartão,2,Cancelou
Cliente_48,4,2,5,PIX,9,Renovou
Cliente_49,3,2,3,Boleto,11,Renovou
Cliente_50,4,2,3,Cartão,2,Renovou
Cliente_51,1,1,3,PIX,2,Cancelou
Cliente_52,2,4,2,Boleto,2,Renovou
Cliente_53,2,1,5,PIX,4,Cancelou
Cliente_54,2,5,4,Boleto,9,Cancelou
Cliente_55,4,2,1,Boleto,3,Renovou
Cliente_56,1,5,4,PIX,1,Renovou
Cliente_57,4,1,5,Cartão,2,Renovou
Cliente_58,3,4,3,Boleto,1,Renovou
Cliente_59,1,3,3,PIX,0,Renovou
Cliente_60,4,2,3,PIX,2,Renovou
Cliente_61,4,5,4,Boleto,13,Renovou
Cliente_62,3,5,4,Cartão,1,Renovou
Cliente_63,4,5,4,Cartão,2,Renovou
Cliente_64,3,1,4,Cartão,10,Renovou
Cliente_65,4,1,5,Boleto,1,Cancelou
Cliente_66,1,3,1,Boleto,7,Cancelou
Cliente_67,3,1,2,Boleto,0,Cancelou
Cliente_68,1,4,4,PIX,7,Cancelou
Cliente_69,1,4,3,Cartão,0,Renovou
Cliente_70,1,5,3,Boleto,3,Cancelou
Cliente_71,2,2,1,Boleto,12,Cancelou
Cliente_72,2,5,3,Cartão,1,Renovou
Cliente_73,3,4,5,Cartão,1,Renovou
Cliente_74,1,4,4,Cartão,8,Cancelou
Cliente_75,1,4,3,Boleto,0,Renovou
Cliente_76,2,5,5,Cartão,5,Renovou
Cliente_77,4,3,3,Boleto,10,Cancelou
Cliente_78,1,2,3,PIX,14,Cancelou
Cliente_79,2,3,1,Boleto,4,Renovou
Cliente_80,3,3,1,PIX,2,Cancelou
Cliente_81,3,2,2,Cartão,3,Cancelou
Cliente_82,4,4,4,PIX,5,Renovou
Cliente_83,1,4,2,PIX,3,Renovou
Cliente_84,2,5,3,PIX,10,Renovou
Cliente_85,2,5,4,Boleto,12,Renovou
Cliente_86,4,3,1,Cartão,2,Renovou
Cliente_87,2,2,5,PIX,12,Renovou
Cliente_88,2,2,2,Boleto,14,Cancelou
Cliente_89,4,1,4,Cartão,11,Renovou
Cliente_90,3,1,4,Boleto,11,Cancelou
Cliente_91,4,3,2,Boleto,1,Renovou
Cliente_92,4,5,3,PIX,4,Cancelou
Cliente_93,3,4,3,Boleto,7,Renovou
Cliente_94,3,4,1,PIX,9,Renovou
Cliente_95,4,3,4,Cartão,8,Renovou
Cliente_96,1,2,1,Cartão,4,Renovou
Cliente_97,3,1,3,Cartão,10,Renovou
Cliente_98,4,5,1,Cartão,4,Renovou
Cliente_99,2,2,1,Boleto,11,Cancelou
Cliente_100,1,5,3,Boleto,6,Cancelou
Cliente_101,2,5,2,Cartão,5,Renovou
Cliente_102,3,3,3,Cartão,14,Renovou
Cliente_103,1,1,4,Boleto,13,Cancelou
Cliente_104,4,1,5,Cartão,1,Renovou
Cliente_105,1,4,5,PIX,2,Renovou
Cliente_106,3,2,5,PIX,1,Renovou
Cliente_107,1,2,2,PIX,1,Renovou
Cliente_108,4,1,2,Boleto,3,Renovou
Cliente_109,4,5,1,Boleto,10,Cancelou
Cliente_110,1,4,2,Boleto,3,Cancelou
Cliente_111,4,4,1,Boleto,5,Cancelou
Cliente_112,1,5,2,PIX,5,Renovou
Cliente_113,1,4,5,Cartão,14,Renovou
Cliente_114,1,5,3,Boleto,2,Renovou
Cliente_115,1,4,2,Boleto,2,Renovou
Cliente_116,3,1,4,Boleto,10,Cancelou
Cliente_117,4,4,1,PIX,10,Cancelou
Cliente_118,1,4,3,PIX,5,Renovou
Cliente_119,4,2,3,Cartão,2,Renovou
Cliente_120,3,4,5,Cartão,1,Renovou
Cliente_121,4,5,2,Boleto,14,Cancelou
Cliente_122,4,1,1,PIX,14,Cancelou
Cliente_123,2,4,2,PIX,5,Cancelou
Cliente_124,2,1,2,Cartão,14,Renovou
Cliente_125,2,1,5,Boleto,14,Renovou
Cliente_126,1,4,1,Boleto,1,Cancelou
Cliente_127,2,2,1,PIX,1,Cancelou
Cliente_128,2,3,4,Boleto,13,Cancelou
Cliente_129,2,4,2,Cartão,5,Cancelou
Cliente_130,4,3,1,PIX,8,Cancelou
Cliente_131,1,4,1,Cartão,9,Renovou
Cliente_132,4,1,4,Boleto,13,Renovou
Cliente_133,2,4,1,Boleto,1,Cancelou
Cliente_134,3,3,5,PIX,4,Renovou
Cliente_135,1,1,2,Cartão,0,Cancelou
Cliente_136,2,4,1,Boleto,11,Cancelou
Cliente_137,3,2,3,Boleto,2,Renovou
Cliente_138,1,5,4,Cartão,12,Renovou
Cliente_139,3,4,1,Boleto,9,Renovou
Cliente_140,1,2,5,PIX,13,Renovou
Cliente_141,2,3,1,PIX,7,Renovou
Cliente_142,4,2,5,PIX,1,Renovou
Cliente_143,3,5,4,Boleto,14,Renovou
Cliente_144,3,2,5,Boleto,10,Renovou
Cliente_145,2,4,4,Boleto,3,Renovou
Cliente_146,1,2,3,Cartão,14,Renovou
Cliente_147,4,4,1,PIX,8,Renovou
Cliente_148,2,3,3,PIX,7,Renovou
Cliente_149,2,5,5,Cartão,1,Renovou
Cliente_150,4,2,4,Cartão,7,Renovou
Cliente_151,1,5,1,PIX,1,Cancelou
Cliente_152,3,2,2,Cartão,8,Renovou
Cliente_153,3,5,2,Cartão,1,Renovou
Cliente_154,4,2,3,Cartão,9,Renovou
Cliente_155,3,3,4,PIX,2,Cancelou
Cliente_156,4,3,2,Cartão,14,Cancelou
Cliente_157,4,4,4,Cartão,9,Renovou
Cliente_158,4,2,3,Boleto,13,Cancelou
Cliente_159,3,3,2,Cartão,12,Renovou
Cliente_160,2,3,3,Cartão,14,Renovou
Cliente_161,3,5,2,Boleto,11,Cancelou
Cliente_162,3,3,5,PIX,7,Renovou
Cliente_163,4,3,4,Cartão,7,Renovou
Cliente_164,3,4,3,Boleto,6,Renovou
Cliente_165,4,1,5,PIX,5,Cancelou
Cliente_166,4,5,5,PIX,8,Cancelou
Cliente_167,3,3,4,PIX,1,Renovou
Cliente_168,3,1,4,Cartão,11,Renovou
Cliente_169,4,1,1,Boleto,11,Cancelou
Cliente_170,1,3,2,PIX,4,Renovou
Cliente_171,2,4,3,PIX,0,Renovou
Cliente_172,3,2,2,Boleto,14,Cancelou
Cliente_173,4,4,5,Boleto,1,Renovou
Cliente_174,3,3,4,Cartão,0,Renovou
Cliente_175,2,5,4,Boleto,0,Cancelou
Cliente_176,3,2,2,Boleto,3,Cancelou
Cliente_177,2,2,2,PIX,7,Cancelou
Cliente_178,1,3,4,PIX,11,Renovou
Cliente_179,3,3,2,Boleto,7,Renovou
Cliente_180,3,5,2,Boleto,5,Cancelou
Cliente_181,4,4,1,PIX,10,Cancelou
Cliente_182,1,5,4,Boleto,3,Renovou
Cliente_183,4,3,1,Boleto,4,Cancelou
Cliente_184,3,5,3,Boleto,10,Renovou
Cliente_185,4,3,5,PIX,3,Cancelou
Cliente_186,1,2,1,PIX,14,Renovou
Cliente_187,1,5,5,Cartão,3,Cancelou
Cliente_188,3,1,2,Cartão,0,Renovou
Cliente_189,1,2,3,Boleto,3,Renovou
Cliente_190,3,1,5,PIX,14,Renovou
Cliente_191,4,3,2,Boleto,14,Cancelou
Cliente_192,3,1,5,Boleto,11,Renovou
Cliente_193,3,4,3,Boleto,12,Cancelou
Cliente_194,4,3,3,Cartão,0,Renovou
Cliente_195,1,1,1,Boleto,7,Cancelou
Cliente_196,1,3,1,PIX,0,Cancelou
Cliente_197,1,4,4,PIX,0,Renovou
Cliente_198,2,1,4,Cartão,6,Cancelou
Cliente_199,3,1,1,Boleto,6,Renovou
Cliente_200,1,2,4,PIX,7,Renovou
Cliente_201,2,1,5,Boleto,7,Cancelou
Cliente_202,3,1,4,PIX,11,Cancelou
Cliente_203,4,3,5,Cartão,13,Renovou
Cliente_204,3,4,5,PIX,11,Renovou
Cliente_205,3,5,5,Cartão,13,Renovou
Cliente_206,4,4,3,Boleto,8,Cancelou
Cliente_207,2,4,5,Boleto,14,Renovou
Cliente_208,1,1,1,PIX,5,Cancelou
Cliente_209,1,5,4,PIX,1,Renovou
Cliente_210,1,5,2,Cartão,7,Renovou
Cliente_211,4,4,1,Cartão,3,Cancelou
Cliente_212,4,3,5,PIX,1,Cancelou
Cliente_213,1,5,2,PIX,6,Renovou
Cliente_214,3,5,2,Boleto,8,Renovou
Cliente_215,3,4,4,PIX,0,Renovou
Cliente_216,1,2,5,Boleto,7,Renovou
Cliente_217,1,5,3,Boleto,0,Renovou
Cliente_218,4,4,4,Cartão,2,Renovou
Cliente_219,1,2,4,Boleto,11,Cancelou
Cliente_220,2,4,5,Boleto,1,Renovou
Cliente_221,3,4,4,Cartão,8,Cancelou
Cliente_222,1,3,5,PIX,13,Cancelou
Cliente_223,1,1,3,Cartão,5,Renovou
Cliente_224,4,2,1,Boleto,0,Cancelou
Cliente_225,2,1,5,PIX,0,Renovou
Cliente_226,4,2,2,Cartão,4,Cancelou
Cliente_227,1,2,5,Boleto,4,Cancelou
Cliente_228,3,5,4,Cartão,14,Renovou
Cliente_229,2,3,3,Boleto,6,Renovou
Cliente_230,2,3,4,PIX,0,Cancelou
Cliente_231,2,4,2,PIX,11,Renovou
Cliente_232,4,1,5,Boleto,14,Renovou
Cliente_233,1,4,1,Cartão,9,Renovou
Cliente_234,1,3,3,Boleto,4,Renovou
Cliente_235,1,4,4,Cartão,2,Renovou
Cliente_236,2,3,3,Boleto,12,Cancelou
Cliente_237,2,3,3,Cartão,2,Renovou
Cliente_238,3,2,4,Cartão,11,Renovou
Cliente_239,2,4,4,Boleto,7,Renovou
Cliente_240,1,2,4,Cartão,1,Cancelou
Cliente_241,1,4,5,PIX,11,Renovou
Cliente_242,2,3,1,Boleto,9,Cancelou
Cliente_243,3,3,3,PIX,12,Renovou
Cliente_244,2,5,3,Boleto,14,Renovou
Cliente_245,2,2,4,PIX,6,Cancelou
Cliente_246,4,1,1,PIX,4,Cancelou
Cliente_247,2,4,1,PIX,6,Cancelou
Cliente_248,1,1,3,Cartão,10,Renovou
Cliente_249,1,5,4,Boleto,8,Renovou
Cliente_250,1,3,3,Boleto,6,Renovou
Cliente_251,4,2,2,PIX,9,Renovou
Cliente_252,4,1,2,Cartão,2,Renovou
Cliente_253,2,2,5,Cartão,7,Renovou
Cliente_254,3,3,5,Cartão,12,Renovou
Cliente_255,2,2,4,Cartão,4,Cancelou
Cliente_256,4,2,4,Boleto,0,Renovou
Cliente_257,2,4,2,PIX,1,Renovou
Cliente_258,4,1,2,PIX,6,Cancelou
Cliente_259,1,5,2,Cartão,10,Renovou
Cliente_260,1,2,5,Boleto,11,Renovou
Cliente_261,4,2,3,Cartão,0,Renovou
Cliente_262,2,5,3,PIX,0,Renovou
Cliente_263,3,1,3,PIX,2,Cancelou
Cliente_264,1,3,3,Boleto,10,Cancelou
Cliente_265,3,4,5,PIX,0,Renovou
Cliente_266,4,5,4,Cartão,7,Renovou
Cliente_267,4,2,4,PIX,14,Renovou
Cliente_268,3,3,5,Boleto,6,Renovou
Cliente_269,4,4,5,Cartão,6,Cancelou
Cliente_270,2,5,2,Boleto,12,Cancelou
Cliente_271,2,2,1,Boleto,7,Renovou
Cliente_272,2,1,1,Cartão,13,Renovou
Cliente_273,4,5,5,Boleto,7,Cancelou
Cliente_274,3,2,4,Cartão,0,Renovou
Cliente_275,1,3,5,Cartão,9,Renovou
Cliente_276,1,5,4,Cartão,11,Renovou
Cliente_277,2,4,2,Cartão,12,Renovou
Cliente_278,1,1,4,PIX,4,Cancelou
Cliente_279,4,5,5,PIX,11,Cancelou
Cliente_280,3,5,3,Boleto,10,Renovou
Cliente_281,4,1,5,Boleto,12,Renovou
Cliente_282,4,3,2,Cartão,5,Renovou
Cliente_283,3,4,5,Boleto,9,Renovou
Cliente_284,1,2,5,Boleto,0,Renovou
Cliente_285,3,3,3,Cartão,6,Cancelou
Cliente_286,4,2,2,Cartão,4,Renovou
Cliente_287,3,4,3,Cartão,4,Renovou
Cliente_288,3,3,3,PIX,11,Renovou
Cliente_289,2,5,2,Boleto,1,Cancelou
Cliente_290,2,3,2,Cartão,11,Renovou
Cliente_291,4,2,1,Boleto,7,Renovou
Cliente_292,4,5,2,PIX,13,Renovou
Cliente_293,1,1,3,Boleto,2,Cancelou
Cliente_294,4,3,1,Cartão,14,Cancelou
Cliente_295,1,3,3,PIX,13,Renovou
Cliente_296,1,5,1,PIX,11,Cancelou
Cliente_297,3,3,3,PIX,10,Cancelou
Cliente_298,3,5,4,Cartão,10,Renovou
Cliente_299,4,1,3,Boleto,1,Cancelou
Cliente_300,2,3,2,Boleto,12,Cancelou
Cliente_301,2,2,2,Boleto,2,Renovou
Cliente_302,1,3,2,Cartão,3,Cancelou
Cliente_303,4,5,4,PIX,10,Renovou
Cliente_304,1,5,3,Boleto,12,Cancelou
Cliente_305,3,2,1,Cartão,10,Renovou
Cliente_306,4,2,4,Cartão,10,Renovou
Cliente_307,4,5,2,Cartão,12,Renovou
Cliente_308,2,5,5,Cartão,8,Renovou
Cliente_309,4,3,3,Cartão,14,Renovou
Cliente_310,2,5,1,Boleto,7,Renovou
Cliente_311,4,2,2,Cartão,13,Cancelou
Cliente_312,3,3,4,PIX,10,Renovou
Cliente_313,1,5,4,Cartão,2,Renovou
Cliente_314,2,1,3,Boleto,3,Cancelou
Cliente_315,2,2,2,Boleto,12,Cancelou
Cliente_316,4,1,1,Boleto,0,Cancelou
Cliente_317,4,3,1,PIX,0,Renovou
Cliente_318,4,2,4,Boleto,4,Renovou
Cliente_319,2,3,1,Cartão,3,Renovou
Cliente_320,2,4,2,Boleto,1,Renovou
Cliente_321,2,2,1,Boleto,12,Cancelou
Cliente_322,4,3,2,PIX,5,Cancelou
Cliente_323,4,1,1,PIX,2,Cancelou
Cliente_324,3,3,2,Cartão,6,Renovou
Cliente_325,3,5,3,PIX,2,Renovou
Cliente_326,3,5,1,Boleto,8,Renovou
Cliente_327,1,1,1,PIX,5,Renovou
Cliente_328,4,3,3,PIX,3,Cancelou
Cliente_329,4,2,4,PIX,4,Renovou
Cliente_330,2,1,4,PIX,6,Renovou
Cliente_331,3,3,3,Cartão,7,Cancelou
Cliente_332,4,4,3,Boleto,3,Cancelou
Cliente_333,2,5,1,Boleto,3,Renovou
Cliente_334,4,1,1,Boleto,5,Cancelou
Cliente_335,4,3,4,Cartão,5,Renovou
Cliente_336,2,4,5,Boleto,2,Renovou
Cliente_337,2,5,4,Boleto,1,Renovou
Cliente_338,2,4,3,PIX,4,Cancelou
Cliente_339,1,1,3,PIX,8,Renovou
Cliente_340,3,3,4,PIX,5,Renovou
Cliente_341,3,4,5,Boleto,5,Renovou
Cliente_342,1,4,2,PIX,2,Renovou
Cliente_343,2,4,1,PIX,14,Cancelou
Cliente_344,2,2,4,PIX,13,Cancelou
Cliente_345,1,4,2,Boleto,11,Cancelou
Cliente_346,4,3,5,Cartão,3,Renovou
Cliente_347,1,3,3,Boleto,8,Renovou
Cliente_348,1,3,4,PIX,5,Renovou
Cliente_349,4,5,4,PIX,7,Renovou
Cliente_350,3,4,3,Boleto,5,Cancelou
Cliente_351,2,1,3,Cartão,11,Renovou
Cliente_352,3,5,2,Cartão,4,Renovou
Cliente_353,2,2,3,Cartão,7,Renovou
Cliente_354,3,3,2,PIX,8,Cancelou
Cliente_355,1,2,5,Cartão,8,Cancelou
Cliente_356,3,5,2,PIX,5,Cancelou
Cliente_357,1,2,3,PIX,6,Renovou
Cliente_358,2,5,2,Boleto,6,Renovou
Cliente_359,2,2,2,PIX,3,Renovou
Cliente_360,2,3,4,Boleto,11,Renovou
Cliente_361,1,4,2,Boleto,6,Cancelou
Cliente_362,4,3,5,Cartão,0,Renovou
Cliente_363,1,3,1,Boleto,11,Renovou
Cliente_364,4,3,5,PIX,5,Renovou
Cliente_365,1,4,1,PIX,6,Renovou
Cliente_366,1,3,4,Cartão,1,Renovou
Cliente_367,1,5,1,PIX,5,Cancelou
Cliente_368,1,2,2,Cartão,2,Renovou
Cliente_369,2,4,3,Boleto,0,Cancelou
Cliente_370,4,1,5,Cartão,11,Renovou
Cliente_371,4,5,4,Cartão,3,Renovou
Cliente_372,1,4,4,PIX,0,Cancelou
Cliente_373,4,2,2,PIX,1,Renovou
Cliente_374,3,4,2,PIX,5,Renovou
Cliente_375,3,5,4,PIX,1,Renovou
Cliente_376,2,5,1,PIX,2,Renovou
Cliente_377,2,1,3,Cartão,11,Renovou
Cliente_378,2,3,3,PIX,1,Cancelou
Cliente_379,3,2,3,PIX,1,Renovou
Cliente_380,2,5,3,PIX,8,Renovou
Cliente_381,2,5,4,Cartão,11,Renovou
Cliente_382,1,2,4,PIX,7,Renovou
Cliente_383,2,5,1,PIX,9,Cancelou
Cliente_384,3,1,5,Cartão,11,Renovou
Cliente_385,2,1,2,PIX,3,Renovou
Cliente_386,2,3,2,PIX,5,Renovou
Cliente_387,1,4,3,Boleto,14,Cancelou
Cliente_388,1,2,3,PIX,2,Renovou
Cliente_389,2,1,5,Boleto,6,Renovou
Cliente_390,2,1,1,Boleto,3,Renovou
Cliente_391,3,1,4,Boleto,3,Cancelou
Cliente_392,4,1,2,Cartão,13,Renovou
Cliente_393,4,3,5,PIX,8,Renovou
Cliente_394,2,5,1,Cartão,13,Renovou
Cliente_395,4,1,3,Boleto,4,Renovou
Cliente_396,4,3,1,PIX,8,Cancelou
Cliente_397,4,4,2,PIX,9,Cancelou
Cliente_398,3,5,3,Boleto,8,Cancelou
Cliente_399,3,4,2,Cartão,10,Renovou
Cliente_400,2,5,4,Boleto,4,Cancelou
Cliente_401,3,5,2,Cartão,5,Renovou
Cliente_402,4,5,5,Cartão,5,Renovou
Cliente_403,3,3,3,Cartão,5,Renovou
Cliente_404,1,2,5,Cartão,2,Renovou
Cliente_405,4,4,2,Boleto,4,Cancelou
Cliente_406,4,5,4,Cartão,13,Renovou
Cliente_407,2,5,5,Cartão,8,Renovou
Cliente_408,2,1,2,Cartão,8,Renovou
Cliente_409,2,1,1,PIX,2,Cancelou
Cliente_410,3,3,2,PIX,4,Cancelou
Cliente_411,2,5,2,PIX,13,Renovou
Cliente_412,2,4,1,PIX,12,Renovou
Cliente_413,2,4,2,Boleto,8,Cancelou
Cliente_414,3,1,5,Boleto,8,Renovou
Cliente_415,1,1,3,Cartão,8,Cancelou
Cliente_416,4,2,1,Boleto,0,Cancelou
Cliente_417,2,5,2,Boleto,13,Cancelou
Cliente_418,1,5,4,PIX,13,Cancelou
Cliente_419,4,1,4,PIX,3,Renovou
Cliente_420,2,1,3,Boleto,8,Renovou
Cliente_421,2,1,4,PIX,2,Renovou
Cliente_422,3,2,2,Boleto,12,Renovou
Cliente_423,1,2,2,Cartão,10,Cancelou
Cliente_424,3,2,3,PIX,1,Cancelou
Cliente_425,4,5,4,PIX,12,Renovou
Cliente_426,1,2,5,Cartão,2,Renovou
Cliente_427,3,5,3,Cartão,14,Renovou
Cliente_428,1,1,4,Cartão,7,Renovou
Cliente_429,3,5,3,Cartão,13,Renovou
Cliente_430,1,4,1,Boleto,5,Renovou
Cliente_431,1,3,5,PIX,13,Renovou
Cliente_432,4,1,5,Cartão,8,Renovou
Cliente_433,4,4,4,Cartão,7,Renovou
Cliente_434,4,3,4,Cartão,3,Renovou
Cliente_435,1,4,4,PIX,14,Cancelou
Cliente_436,1,3,1,Boleto,0,Cancelou
Cliente_437,4,3,2,Boleto,2,Renovou
Cliente_438,2,2,4,Cartão,7,Cancelou
Cliente_439,4,4,2,PIX,3,Renovou
Cliente_440,3,4,1,Boleto,10,Renovou
Cliente_441,4,1,4,Boleto,12,Cancelou
Cliente_442,1,5,5,Cartão,5,Renovou
Cliente_443,4,4,1,Boleto,12,Cancelou
Cliente_444,1,4,3,PIX,5,Renovou
Cliente_445,4,1,3,Boleto,1,Cancelou
Cliente_446,4,1,2,PIX,1,Renovou
Cliente_447,2,2,3,Boleto,14,Renovou
Cliente_448,3,5,5,Cartão,2,Renovou
Cliente_449,2,5,1,Boleto,4,Renovou
Cliente_450,1,2,1,Boleto,3,Cancelou
Cliente_451,1,1,5,PIX,1,Renovou
Cliente_452,4,1,2,PIX,3,Cancelou
Cliente_453,1,1,4,PIX,9,Renovou
Cliente_454,4,4,5,Boleto,1,Renovou
Cliente_455,1,5,5,Cartão,13,Cancelou
Cliente_456,1,5,3,PIX,8,Cancelou
Cliente_457,2,3,5,PIX,1,Renovou
Cliente_458,1,3,5,Cartão,7,Renovou
Cliente_459,3,4,5,Boleto,8,Renovou
Cliente_460,3,4,2,Boleto,2,Cancelou
Cliente_461,3,5,1,Boleto,4,Renovou
Cliente_462,1,3,2,Cartão,6,Renovou
Cliente_463,1,2,4,Boleto,5,Renovou
Cliente_464,3,1,3,PIX,12,Renovou
Cliente_465,1,5,4,Cartão,1,Renovou
Cliente_466,3,2,2,PIX,9,Cancelou
Cliente_467,4,4,5,Boleto,6,Renovou
Cliente_468,3,1,1,Boleto,12,Renovou
Cliente_469,4,4,2,Boleto,12,Cancelou
Cliente_470,4,3,3,Cartão,13,Renovou
Cliente_471,1,2,1,Boleto,5,Renovou
Cliente_472,2,1,1,Boleto,0,Cancelou
Cliente_473,2,1,4,Cartão,5,Renovou
Cliente_474,2,4,5,Boleto,6,Renovou
Cliente_475,1,5,2,PIX,11,Renovou
Cliente_476,1,2,3,Boleto,13,Cancelou
Cliente_477,4,1,3,PIX,1,Renovou
Cliente_478,4,1,5,PIX,14,Renovou
Cliente_479,2,3,1,Cartão,5,Cancelou
Cliente_480,4,2,4,PIX,8,Renovou
Cliente_481,1,2,2,Boleto,4,Renovou
Cliente_482,4,1,4,Boleto,5,Renovou
Cliente_483,1,2,5,Cartão,6,Renovou
Cliente_484,2,2,4,Cartão,5,Renovou
Cliente_485,3,1,4,Cartão,13,Renovou
Cliente_486,3,1,4,Cartão,12,Renovou
Cliente_487,1,4,1,Cartão,6,Renovou
Cliente_488,3,4,5,PIX,14,Cancelou
Cliente_489,2,4,4,Boleto,2,Cancelou
Cliente_490,4,4,3,Boleto,2,Renovou
Cliente_491,4,2,1,PIX,5,Renovou
Cliente_492,4,3,5,Cartão,6,Renovou
Cliente_493,2,1,2,Cartão,2,Renovou
Cliente_494,3,1,3,PIX,2,Renovou
Cliente_495,2,5,1,PIX,1,Cancelou
Cliente_496,3,3,3,Boleto,4,Cancelou
Cliente_497,4,3,4,Boleto,8,Renovou
Cliente_498,3,1,1,Cartão,8,Renovou
Cliente_499,2,3,2,Cartão,3,Renovou
Cliente_500,3,5,2,Cartão,7,Cancelou